PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,160703999,14982,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,Unspecified,,,,Inhibition,=,70.5,%
2,440127689,155522250,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)N[C@@H](CC9=CC=C(C=C9)O)C(=O)O)O)O)O)C)(C)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O,Unspecified,,,,Inhibition,=,68.5,%
3,440154337,155539265,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@@H](CC(=O)OC)C(=O)OC)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)N[C@@H](CC(=O)OC)C(=O)O)O)O)O)C)(C)C(=O)O,Unspecified,,,,Inhibition,=,35.8,%
4,440169185,155545422,CC[C@H](C)[C@@H](C(=O)O)NC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@@H]2O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4C(=O)C=C6[C@]5(CC[C@@]7([C@H]6C[C@@](CC7)(C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O)C)C)C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O)O)O)O)O)O,Unspecified,,,,Inhibition,=,95.7,%
5,440200104,14537121,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@@H](CCSC)C(=O)OC)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)N[C@@H](CCSC)C(=O)OC)O)O)O)C)(C)C(=O)N[C@@H](CCSC)C(=O)OC,Unspecified,,,,Inhibition,=,66.3,%
6,440213993,155563245,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N/N=C/C7=CC=C(C=C7)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)N/N=C/C9=CC=C(C=C9)O)O)O)O)C)(C)C(=O)OC,Unspecified,,,,Inhibition,=,32.5,%
7,440226296,155568086,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)NCCCCCCCCCCC(=O)OC)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)NCCCCCCCCCCC(=O)OC)O)O)O)C)(C)C(=O)O,Unspecified,,,,Inhibition,=,79.5,%
8,440228507,155568972,CC(C)C[C@H](C(=O)OC)NC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@@H]2O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4C(=O)C=C6[C@]5(CC[C@@]7([C@H]6C[C@@](CC7)(C)C(=O)N[C@H](CC(C)C)C(=O)OC)C)C)C)C)C(=O)N[C@H](CC(C)C)C(=O)OC)O)O)O)O)O,Unspecified,,,,Inhibition,=,53.1,%
