PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,312393469,135953769,C1C(=O)NC2=C([C@]13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=CC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
2,312393470,136934938,C1C(=O)NC2=C(C13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=CC(=CC=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
3,312393471,135655558,C1C(=O)NC2=C(C13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=CC=CC=C5Cl,Unspecified,,,,10,CC50,>,10000,nM
4,312393472,136934939,COC1=CC=C(C=C1)CN2C3=C(C=N2)C4(CC(=O)N3)C5=C(C=CC(=C5)Cl)NC4=O,Unspecified,,,,10,CC50,>,10000,nM
5,312393473,136934940,C1C(=O)NC2=C(C13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=CC=C(C=C5)C(F)(F)F,Unspecified,,,,10,CC50,>,10000,nM
6,312393474,136387590,C1C(=O)NC2=C([C@]13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=CC=C(C=C5)C(F)(F)F,Unspecified,,,,10,CC50,>,10000,nM
7,312393475,136934941,C1C(=O)NC2=C([C@@]13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=CC=C(C=C5)C(F)(F)F,Unspecified,,,,10,CC50,>,10000,nM
8,312393497,136934942,C1C(=O)NC2=C(C13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=NC=C(C=C5)Cl,Unspecified,,,,33,CC50,=,33000,nM
9,312393498,136387588,C1C(=O)NC2=C([C@]13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=NC=C(C=C5)Cl,Unspecified,,,,33,CC50,=,33000,nM
10,312393499,136934943,C1C(=O)NC2=C([C@@]13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=NC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
11,312393500,136934944,C1C(=O)NC2=C(C13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=CN=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
12,312393501,136934945,C1C(=O)NC2=C(C13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=NC=C(C=N5)Cl,Unspecified,,,,10,CC50,>,10000,nM
13,312393502,136934946,C1CC(CCC1CN2C3=C(C=N2)C4(CC(=O)N3)C5=C(C=CC(=C5)Cl)NC4=O)(F)F,Unspecified,,,,10,CC50,>,10000,nM
14,312393503,135655388,C1C(=O)NC2=C(C13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2C5=CC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
15,312393504,136934947,C1C(=O)NC2=C(C13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CCC5=CC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
16,312393505,136934948,C1CNC2=C(C13C4=C(C=CC(=C4)Cl)NC3=O)C=NN2CC5=CC=C(C=C5)Cl,Active,,,,8.1,CC50,=,8100,nM
17,312393506,136934949,C1C(=O)NC2=C(C13CNC4=C3C=C(C=C4)Cl)C=NN2CC5=CC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
18,312393507,118737297,CN1C(=O)CC2(C3=C(C=CC(=C3)Cl)NC2=O)C4=C1N(N=C4)CC5=CC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
19,312393508,135654610,CN1C2=C(C=C(C=C2)Cl)C3(C1=O)CC(=O)NC4=C3C=NN4CC5=CC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
20,312393509,135940673,CN1C2=C(C=C(C=C2)Cl)[C@]3(C1=O)CC(=O)NC4=C3C=NN4CC5=CC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
21,312393510,135940672,CN1C2=C(C=C(C=C2)Cl)[C@@]3(C1=O)CC(=O)NC4=C3C=NN4CC5=CC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
22,312393511,136934950,C1C(=O)NC2=C(C13C4=C(C=CC(=C4)Br)NC3=O)C=NN2CC5=CC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
23,312393512,136934951,C1C(=O)NC2=C(C13C4=C(C=CC(=C4)C(F)(F)F)NC3=O)C=NN2CC5=CC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
24,312393513,136934952,COC1=CC2=C(C=C1)NC(=O)C23CC(=O)NC4=C3C=NN4CC5=CC=C(C=C5)Cl,Unspecified,,,,10,CC50,>,10000,nM
