PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,104251678,9952008,C1CNC2=NC(=NC=C2Br)NC3=CC(=CC=C3)S(=O)(=O)NC1,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
2,520004251,177377218,COC1=C(C=C(C(=C1)C2=CN=C3NC4=CC(=CC=C4)S(=O)(=O)NCCCNC2=N3)F)F,Active,,,,0.04,EC50,=,40,nM,
3,520041101,177377221,COC1=C(C=CC(=C1)C2=CN=C3NC4=CC(=C(C=C4)O)S(=O)(=O)NCCCNC2=N3)F,Active,,,,0.03,EC50,=,30,nM,
4,520041156,177377219,COC1=C(C=CC(=C1F)C2=CN=C3NC4=CC(=CC=C4)S(=O)(=O)NCCCNC2=N3)F,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
5,520041462,177377216,CCNC1=NC(=NC=C1C2=CC(=C(C=C2)F)OC)NC3=CC(=CC=C3)S(=O)(=O)NC,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
6,520043238,172418956,COC1=C(C=CC(=C1)C2=CN=C3NC4=CC(=CC=C4)S(=O)(=O)NCCCNC2=N3)Br,Active,,,,0.027,EC50,=,27,nM,
7,520044393,177377217,C1CNC2=NC(=NC=C2C3=CC(=C(C=C3)Cl)Cl)NC4=CC(=CC=C4)S(=O)(=O)NC1,Active,,,,0.16,EC50,=,160,nM,
8,520045547,169491048,COC1=C(C=CC(=C1)C2=CN=C3NC4=CC(=CC=C4)S(=O)(=O)NCCCNC2=N3)F,Active,,,,0.02,EC50,=,20,nM,
9,520047748,177377215,COCCOC1=C2C=C(C=C1)NC3=NC=C(C(=N3)NCCCNS2(=O)=O)C4=CC(=C(C=C4)F)OC,Active,,,,0.031,EC50,=,31,nM,
10,520050546,177377214,COC1=C2C=C(C=C1)NC3=NC=C(C(=N3)NCCCNS2(=O)=O)C4=CC(=C(C=C4)F)OC,Active,,,,0.024,EC50,=,24,nM,
11,520051736,177377220,COC1=C(C=C(C(=C1)C2=CN=C3NC4=CC(=CC=C4)S(=O)(=O)NCCCNC2=N3)F)Cl,Active,,,,0.033,EC50,=,33,nM,
