PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,312392786,90467922,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCOCC4)N,Unspecified,,,,17,CC50,=,17000,nM
2,404652556,134817201,C[C@@H]1CN(C[C@@H](O1)C)C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC,Unspecified,,,,25,CC50,>,25000,nM
3,404652804,145950059,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCNC(=O)C4)N,Unspecified,,,,10,CC50,>,10000,nM
4,404654563,145951292,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CC5(C4)COC5)N,Unspecified,,,,10,CC50,>,10000,nM
5,404654596,145951319,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCC(CC4)(F)F)N,Unspecified,,,,10,CC50,>,10000,nM
6,404654789,145951454,C[C@H]1CN(CCO1)C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC,Unspecified,,,,25,CC50,>,25000,nM
7,404655841,145952191,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CC5CCC(C4)O5)N,Unspecified,,,,10,CC50,>,10000,nM
8,404658249,145953839,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCCOCC4)N,Unspecified,,,,10,CC50,>,10000,nM
9,404660371,145955311,C[C@H]1COCCN1C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC,Active,,,,6.32,CC50,=,6320,nM
10,404660876,145955669,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCCCC4)N,Unspecified,,,,10,CC50,>,10000,nM
11,404661598,145956156,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCC(CC4)C(=O)N)N,Unspecified,,,,10,CC50,>,10000,nM
12,404661665,145956199,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCS(=O)(=O)CC4)N,Unspecified,,,,10,CC50,>,10000,nM
13,404662438,145956750,C[C@@H]1COCCN1C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC,Unspecified,,,,10,CC50,>,10000,nM
14,404662981,145957113,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCC(CC4)C#N)N,Active,,,,2.09,CC50,=,2090,nM
15,404663730,145957629,CC1CN(CCO1)C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC,Unspecified,,,,21.5,CC50,=,21500,nM
16,404664648,145958282,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)NC4CCOCC4)N,Unspecified,,,,20,CC50,>,20000,nM
17,404666377,145959491,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCC(CC4)N)N,Unspecified,,,,10,CC50,>,10000,nM
18,404666773,145959760,C[C@@H]1CN(CCO1)C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC,Unspecified,,,,20.68,CC50,=,20680,nM
19,404667362,145960163,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCCC(C4)C(=O)N)N,Unspecified,,,,10,CC50,>,10000,nM
20,404667954,145960562,C[C@@H]1CN(C[C@H](O1)C)C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC,Unspecified,,,,10,CC50,>,10000,nM
21,404686317,145972935,CC1(CN(CCO1)C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC)C,Active,,,,4.14,CC50,=,4140,nM
