PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,312358927,118714507,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N,Unspecified,,,,Inhibition,=,68.6,%
2,336893536,127042988,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=CC=CC=C3,Unspecified,,,,Inhibition,=,98.9,%
3,442046460,156009522,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)NN,Unspecified,,,,Inhibition,=,28.3,%
4,442046502,156009554,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)N=C(N)N)NC(=O)C4=CC=C(C=C4)OCC5=CC=C(C=C5)Cl.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,=,98.7,%
5,442046590,156009626,CC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)N=C(N)N.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,<,10,%
6,442046988,156009917,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)N.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,=,13,%
7,442047568,156010306,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)N=C(N)N)NC(=O)C4=CC=C(C=C4)OC5=CC=CC=C5.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,=,99.5,%
8,442047738,156010437,CCCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)N=C(N)N.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,=,97.2,%
9,442047770,156010463,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)N=C(N)N)NC(=O)C4=CC=CC=C4.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,=,39,%
10,442048090,156010693,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,=,20.6,%
11,442048152,156010737,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)N[C@@H](C3=CC=C(C=C3)OCC4=C(C=CC=C4Cl)Cl)C(=O)NCC5=CC=C(C=C5)N=C(N)N.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,=,101,%
12,442048167,156010749,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CN=C(C=C3)N=C(N)N.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,=,93.9,%
13,442048286,156010846,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)N=C(N)N)NC(=O)C4=CC=C(C=C4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,=,101,%
14,442048563,156011052,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=CC=C3,Unspecified,,,,Inhibition,<,10,%
15,442048614,156011085,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC(=CC=C3)CN=C(N)N,Unspecified,,,,Inhibition,=,43.8,%
16,442048809,156011230,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)N[C@H](C3=CC=C(C=C3)OCC4=CC(=C(C=C4)Cl)Cl)C(=O)NCC5=CC=C(C=C5)CN=C(N)N.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,=,99.8,%
17,442049277,156011579,CCCCCC(=O)N[C@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)N=C(N)N.C(=O)(C(F)(F)F)O,Unspecified,,,,Inhibition,=,49.9,%
