PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103216353,233815,C1CC2(C3=CC=CC=C31)C(=O)NC(=O)N2,Unspecified,,,,10,CC50,>,10000,nM
2,336901488,71656048,C1C(=O)N(C(=O)C2=CC3=CC=CC=C3N21)O,Unspecified,,,,200,CC50,>,200000,nM
3,404660668,145955521,C1CC2=CC=CC=C2C3(C1)C(=O)N(C(=O)N3)CC(=O)NO,Unspecified,,,,200,CC50,>,200000,nM
4,440111428,155511616,CN1C(=O)N(C(=O)C12CCCCC3=CC=CC=C23)CC(=O)NO,Unspecified,,,,111.6,CC50,=,111600,nM
5,440120263,155517505,C1CC2=CC=CC=C2C3(C1)C(=O)N(C(=O)N3CC4=CC=CC=C4)CC(=O)NO,Active,,,,8.9,CC50,=,8900,nM
6,440127047,155521829,CN1C(=O)N(C(=O)C12CCCC3=CC=CC=C23)CC(=O)NO,Unspecified,,,,143.2,CC50,=,143200,nM
7,440143082,155532322,C1CC2(C3=CC=CC=C31)C(=O)N(C(=O)N2CC4=CC=CC=C4)CC(=O)NO,Active,,,,7.53,CC50,=,7530,nM
8,440144105,155532987,C1CC2(C3=CC=CC=C31)C(=O)N(C(=O)N2)CC(=O)NO,Unspecified,,,,200,CC50,>,200000,nM
9,440151653,155537935,C1CCC2(C3=CC=CC=C3C1)C(=O)N(C(=O)N2CC4=CC=CC=C4)CC(=O)NO,Active,,,,5.45,CC50,=,5450,nM
10,440152886,155538701,CN1C(=O)N(C(=O)C12CCC3=CC=CC=C23)CC(=O)NO,Unspecified,,,,26.91,CC50,=,26910,nM
11,440202077,155558538,C1CCC2(C3=CC=CC=C3C1)C(=O)N(C(=O)N2)CC(=O)NO,Unspecified,,,,198.4,CC50,=,198400,nM
