PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,475981301,1798103,C=CCNC(=S)N1C[C@H]2C[C@@H](C1)C3=CC=CC(=O)N3C2,Unspecified,,,,Inhibition,=,86.4,%,
2,475981595,166627066,CN1C=C(C(=O)N(C1=O)C)CNC2=CC=C3[C@H]4C[C@H](CN(C4)C(=O)NC5=CC=CC=C5)CN3C2=O,Unspecified,,,,Inhibition,=,74,%,
3,475982900,166627723,C=CCNC(=S)N1C[C@H]2C[C@@H](C1)C3=CC=C(C(=O)N3C2)[N+](=O)[O-],Unspecified,,,,Inhibition,=,48.9,%,
4,475983740,166628155,CN1C[C@H]2C[C@@H](C1)C3=CC=C(C(=O)N3C2)NC/C=C/C4=CC=CC=C4,Unspecified,,,,Inhibition,=,3.2,%,
5,475984412,166628486,CCOC(=O)CNC(=O)NC1=CC=C2[C@H]3C[C@H](CN(C3)C)CN2C1=O,Unspecified,,,,Inhibition,=,40.3,%,
6,475986822,166629719,CCOC(=O)CNC(=S)NC1=CC=C2[C@H]3C[C@H](CN(C3)C)CN2C1=O,Unspecified,,,,Inhibition,=,60.9,%,
7,475987046,166629831,CN1C=C(C(=O)N(C1=O)C)CNC2=CC=C3[C@H]4C[C@H](CN(C4)CC5=CC=CC=C5)CN3C2=O,Unspecified,,,,Inhibition,=,58.8,%,
8,475987083,166629848,CN1C[C@H]2C[C@@H](C1)C3=CC=C(C(=O)N3C2)NC(=S)N(C4CCCCC4)C5CCCCC5,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
9,475987407,166629989,CN1C[C@H]2C[C@@H](C1)C3=CC=C(C(=O)N3C2)[N+](=O)[O-],Unspecified,,,,Inhibition,=,76.7,%,
10,475987733,166630149,CC(C)NC(=O)NC1=CC=C2[C@H]3C[C@H](CN(C3)C)CN2C1=O,Unspecified,,,,Inhibition,=,19.7,%,
11,475990344,765006,C1[C@@H]2CN(C[C@H]1C3=CC=CC(=O)N3C2)C(=S)NC4=CC=CC=C4,Unspecified,,,,Inhibition,=,59.4,%,
12,475991034,166631804,CN1C[C@H]2C[C@@H](C1)C3=CC=C(C(=O)N3C2)NCC4=CC=C(C=C4)O,Unspecified,,,,Inhibition,=,70.6,%,
13,475992276,166632407,C1[C@@H]2CN(C[C@H]1C3=C(C=CC(=O)N3C2)Cl)C(=S)NC4=CC=CC=C4,Unspecified,,,,Inhibition,=,11.2,%,
14,475992752,166632644,CN1C=C(C(=O)N(C1=O)C)CNC2=CC=C3[C@H]4C[C@H](CN(C4)CC(=O)OC)CN3C2=O,Unspecified,,,,Inhibition,=,63.9,%,
15,475993739,166633120,CN1C[C@H]2C[C@@H](C1)C3=CC=C(C(=O)N3C2)NCC4=CN(C(=O)N(C4=O)C)C,Unspecified,,,,Inhibition,=,79.2,%,
16,475996072,166634304,CN1C=C(C(=O)N(C1=O)C)CNC2=CC=C3[C@H]4C[C@@H](CN3C2=O)C5CCCCN5C4,Unspecified,,,,Inhibition,=,53.3,%,
17,475997015,166634747,CN1C[C@H]2C[C@@H](C1)C3=CC=C(C(=O)N3C2)NCC4=CC=CC=C4O,Unspecified,,,,Inhibition,=,39,%,
18,475998245,166635380,CN1C=C(C(=O)N(C1=O)C)CNC2=CC=C3[C@H]4C[C@H](CN(C4)CC=C)CN3C2=O,Unspecified,,,,Inhibition,=,43.3,%,
19,475998673,166635593,CC(C)NC(=S)NC1=CC=C2[C@H]3C[C@H](CN(C3)C)CN2C1=O,Unspecified,,,,Inhibition,=,61.4,%,
