PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,440165672,122172828,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=C(C=C6)O)C(=O)O,Active,,,,9.164,IC50,=,9164,nM,
2,442048316,156010868,C1CCC(CC1)OC2=CC=CC(=C2)N3C=C(C=C(C3=O)C4=CC=CC=C4)C(=O)N[C@@H](CC5=CC=C(C=C5)O)C(=O)O,Unspecified,,,,81.29,IC50,=,81290,nM,
3,442049215,156011530,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)NCCC(=O)O,Unspecified,,,,37.77,IC50,=,37770,nM,
4,442050887,156012748,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)N[C@@H](CO)C(=O)O,Unspecified,,,,19.81,IC50,=,19810,nM,
5,442051761,156013362,C1CCCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=C(C=C6)O)C(=O)O,Active,,,,9.616,IC50,=,9616,nM,
6,442056328,156016491,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=CC=C(C(=O)N43)C5=CC=CC=C5,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
7,442056424,156016557,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)N[C@@H](CC6=CC(=CC=C6)O)C(=O)O,Unspecified,,,,14.47,IC50,=,14470,nM,
8,442058055,156017720,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)NCC6=CC=CC=C6,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
9,442060635,156019558,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)NCCO,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
10,442061571,156020217,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)NCC6=CC=C(C=C6)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
11,442061993,156020510,CN1C=C(C=C(C1=O)C2=CC=CC=C2)C(=O)N[C@@H](CC3=CC=C(C=C3)O)C(=O)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
