PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103273852,3009860,CC[C@]1([C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,100,EC50,>,100000,nM
2,103274216,500900,C[C@]1([C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O)O,Active,,,,1.12,EC50,=,1120,nM
3,103313442,10515947,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O)O,Unspecified,,,,100,EC50,>,100000,nM
4,124956099,45107818,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=C(C3=C(N=CN=C32)N)C(=O)N)CO)O)O,Active,,,,2,EC50,=,2000,nM
5,124957195,11173824,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O)O,Active,,,,1.41,EC50,=,1410,nM
6,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,0.7,EC50,=,700,nM
7,124964289,44628496,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=C(C3=C(N=CN=C32)N)C#N)CO)O)O,Active,,,,3.1,EC50,=,3100,nM
8,124968599,53322921,C=C[C@]1([C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,50,EC50,>,50000,nM
9,124972278,24962295,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=C(C3=C(N=CN=C32)N)F)CO)O)O,Active,,,,0.42,EC50,=,420,nM
10,124973001,136030678,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)CO)O)O,Unspecified,,,,100,EC50,>,100000,nM
11,124973443,53325350,CC#C[C@]1([C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,100,EC50,>,100000,nM
