PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
11,440154337,155539265,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@@H](CC(=O)OC)C(=O)OC)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)N[C@@H](CC(=O)OC)C(=O)O)O)O)O)C)(C)C(=O)O,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
12,440155775,155539895,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@H](CC7=CNC8=CC=CC=C87)C(=O)OC)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C(=O)OC)O)O)O)C)(C)C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C(=O)OC,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
13,440169185,155545422,CC[C@H](C)[C@@H](C(=O)O)NC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@@H]2O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4C(=O)C=C6[C@]5(CC[C@@]7([C@H]6C[C@@](CC7)(C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O)C)C)C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O)O)O)O)O)O,Unspecified,,,,100,CC50,>,100000,nM,
14,440170808,155546053,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)NN)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)NN)O)O)O)C)(C)C(=O)OC,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
15,440200104,14537121,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@@H](CCSC)C(=O)OC)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)N[C@@H](CCSC)C(=O)OC)O)O)O)C)(C)C(=O)N[C@@H](CCSC)C(=O)OC,Unspecified,,,,100,CC50,>,100000,nM,
16,440210518,15080998,CC(C)[C@@H](C(=O)OC)NC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@@H]2O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4C(=O)C=C6[C@]5(CC[C@@]7([C@H]6C[C@@](CC7)(C)C(=O)N[C@@H](C(C)C)C(=O)OC)C)C)C)C)C(=O)N[C@@H](C(C)C)C(=O)OC)O)O)O)O)O,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
17,440213993,155563245,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N/N=C/C7=CC=C(C=C7)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)N/N=C/C9=CC=C(C=C9)O)O)O)O)C)(C)C(=O)OC,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
18,440216405,15080999,CC[C@H](C)[C@@H](C(=O)OC)NC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@@H]2O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4C(=O)C=C6[C@]5(CC[C@@]7([C@H]6C[C@@](CC7)(C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)OC)C)C)C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)OC)O)O)O)O)O,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
19,440226296,155568086,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)NCCCCCCCCCCC(=O)OC)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)NCCCCCCCCCCC(=O)OC)O)O)O)C)(C)C(=O)O,Unspecified,,,,100,CC50,>,100000,nM,
20,440228507,155568972,CC(C)C[C@H](C(=O)OC)NC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@@H]2O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4C(=O)C=C6[C@]5(CC[C@@]7([C@H]6C[C@@](CC7)(C)C(=O)N[C@H](CC(C)C)C(=O)OC)C)C)C)C)C(=O)N[C@H](CC(C)C)C(=O)OC)O)O)O)O)O,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
